code,name_es,name_en,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_mg_100g
787,Crema pastelera,Custard,157.96,4.9,22.3,5.37,0.3,70.0
2484,Cremoso san millan,"""san millan"" creamy cheese",260.49,6.7,3.0,25.0,0.0,460.0
2669,Croissant,Croissant,406.05,7.5,55.0,17.2,2.2,490.0
1043,Croissant de chocolate,Croissant with chocolate,478.56,5.6,79.1,15.2,3.0,110.0
2268,Croquetas de pollo,Chicken croquettes,153.54,5.78,20.43,5.32,2.45,720.0
2485,Cuajada,Curdled milk,86.66,4.5,6.6,4.7,0.0,60.0
2440,Cubata,Ron with soft drink,108.88,0.0,7.35,0.0,0.0,10.0
2622,Cubito de caldo,Stock powder,249.47,15.7,5.0,18.7,0.2,16980.0
2621,Curry,Curry,437.38,15.0,60.0,15.0,0.0,50.0
2224,Dátil,Date,286.81,2.5,67.0,0.5,7.1,0.0
2670,Donut,Doughnut,393.52,6.1,42.0,22.4,3.0,440.0
1044,"Donut, de chocolate","Doughnut, with chocolate",452.2,4.93,51.33,25.25,1.9,440.0
815,"Dorada, cruda","Gilt-head bream, raw",77.92,17.0,0.0,7.22,0.0,70.0
2333,"Dorada, plancha","Gilt-head bream, griddle",92.95,17.0,0.0,2.7,0.0,70.0
2620,Empanada de carne,Meat pasty,297.97,21.91,12.01,18.11,0.13,600.0
