code,name_en,group,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g
17-036,"Oil, grapeseed",OC,899.0,0.0,0.0,99.9,0.0,0.0,0
17-037,"Oil, hazelnut",OC,899.0,0.0,0.0,99.9,,0.0,0
17-038,"Oil, olive",OC,899.0,0.0,0.0,99.9,0.0,0.0,0
17-039,"Oil, palm",OC,899.0,0.0,0.0,99.9,0.0,0.0,0
17-040,"Oil, peanut (groundnut)",OC,899.0,0.0,0.0,99.9,0.0,0.0,0
17-041,"Oil, rapeseed",OC,899.0,0.0,0.0,99.9,0.0,0.0,0
17-042,"Oil, safflower",OC,899.0,0.0,0.0,99.9,,0.0,0
17-043,"Oil, sesame",OC,898.0,0.2,0.0,99.7,0.0,0.0,2.0
17-044,"Oil, soya",OC,899.0,0.0,0.0,99.9,0.0,0.0,0
17-045,"Oil, sunflower",OC,899.0,0.0,0.0,99.9,0.0,0.0,0
17-686,"Oil, vegetable, average",OC,899.0,0.0,0.0,99.9,0.0,0.0,0
17-047,"Oil, walnut",OC,899.0,0.0,0.0,99.9,0.0,0.0,0
17-048,"Oil, wheatgerm",OC,899.0,0.0,0.0,99.9,,0.0,0
15-824,"Okra with tomatoes and onion, Greek, homemade",DR,180.0,2.8,5.0,16.7,,4.2,8.0
15-825,"Okra with tomatoes and onion, West Indian, homemade",DR,98.0,3.0,4.7,7.7,,4.0,25.0
13-652,"Okra, boiled in unsalted water",DG,16.0,1.8,1.9,0.2,3.1,1.4,5.0
13-300,"Okra, raw",DG,31.0,2.8,3.0,1.0,,2.5,8.0
13-302,"Okra, stir-fried in corn oil",DG,269.0,4.3,4.4,26.1,,3.6,13.0
14-340,"Olives, green, in brine, drained, flesh and skin",FA,103.0,0.9,0.0,11.0,,0,1330.0
14-359,"Olives, green, in brine, drained, flesh and skin, weighed with stones",FA,82.0,0.7,0.0,8.8,,0,1064.0
12-947,"Omelette, cheese, homemade",CD,268.0,15.9,0.0,22.7,0.0,0,337.0
12-956,"Omelette, curried, homemade",CDE,370.0,8.4,3.5,36.0,,1.4,384.0
12-946,"Omelette, plain, homemade",CD,191.0,10.9,0.0,16.4,0.0,0,136.0
12-957,"Omelette, Spanish, homemade",CD,112.0,5.6,5.9,7.6,,3.2,55.0
17-815,"Onion sauce, made with semi-skimmed milk, homemade",WCD,88.0,3.0,9.0,4.7,1.0,4.8,65.0
17-816,"Onion sauce, made with skimmed milk, homemade",WCD,80.0,3.1,9.0,3.8,1.0,4.8,66.0
17-817,"Onion sauce, made with whole milk, homemade",WCD,91.0,3.3,7.8,5.5,0.7,4.8,59.0
13-589,"Onions, baked",DG,43.0,1.2,9.9,0.2,2.7,7.7,4.0
13-500,"Onions, boiled in unsalted water",DG,25.0,0.7,5.4,0.3,2.3,4.2,2.0
13-590,"Onions, dried, raw",DG,309.0,8.8,70.2,1.2,19.3,54.4,100.0
13-611,"Onions, fried in butter",D,95.0,1.2,11.2,5.3,3.0,8.6,
13-592,"Onions, fried in corn oil",DG,95.0,1.2,11.2,5.3,3.0,8.6,4.0
13-593,"Onions, fried in lard",DG,95.0,1.2,11.2,5.3,3.0,8.6,3.0
13-591,"Onions, fried in rapeseed oil",DG,95.0,1.2,11.2,5.3,3.0,8.6,4.0
13-501,"Onions, fried in sunflower oil",DG,95.0,1.2,11.2,5.3,3.0,8.6,4.0
13-309,"Onions, pickled, drained",DG,24.0,0.9,4.9,0.2,1.6,3.5,450.0
13-499,"Onions, raw",DG,35.0,1.0,8.0,0.1,2.2,6.2,3.0
14-330,"Orange juice, ambient, UHT",FC,34.0,0.6,8.5,0.0,0,8.5,3.0
14-329,"Orange juice, chilled",FC,36.0,0.9,8.6,0.0,0,8.6,1.0
14-369,"Orange juice, freshly squeezed",FC,33.0,0.6,8.1,0.0,,8.1,2.0
14-370,"Orange juice, freshly squeezed, weighed as whole fruit",FC,15.0,0.3,3.7,0.0,0,3.7,1.0
16-199,"Orange roughy, raw",JC,126.0,14.7,0.0,7.0,,0.0,77.0
14-327,"Oranges, flesh only",FA,36.0,0.8,8.2,0.2,1.2,8.2,1.0
14-360,"Oranges, flesh only, weighed with peel and pips",FA,27.0,0.8,5.8,0.2,1.2,5.8,0
14-177,"Ortaniques, flesh only",FA,49.0,1.0,11.7,0.2,,11.7,5.0
17-818,"Ovaltine powder, made up with semi-skimmed milk",PAA,81.0,3.9,13.4,1.7,0.5,9.5,51.0
17-819,"Ovaltine powder, made up with skimmed milk",PAA,70.0,3.9,13.5,0.4,0.5,9.6,53.0
17-820,"Ovaltine powder, made up with whole milk",PAA,96.0,3.8,13.3,3.4,0.5,9.4,51.0
17-734,"Ovaltine, powder",PAA,358.0,7.3,83.1,1.9,4.3,48.3,120.0
18-420,"Oxtail, meat only, stewed with added salt",MG,243.0,30.5,0.0,13.4,,0.0,190.0
50-494,"Oxtail, meat only, stewed, weighed with fat and bones",MG,92.0,11.6,0.0,5.1,,0.0,72.0
18-419,"Oxtail, raw",MG,171.0,20.0,0.0,10.1,,0.0,110.0
16-260,"Oysters, raw",JM,65.0,10.8,2.7,1.3,,0,510.0
16-261,"Oysters, raw, weighed with shells",JM,9.0,1.5,0.4,0.2,,0,71.0
13-516,"Pak choi, steamed",DG,14.0,1.5,1.9,0.1,2.0,1.5,39.0
15-620,"Pakora, vegetable, takeaway and restaurant",DR,293.0,8.4,16.5,22.0,3.3,1.5,479.0
15-826,"Pakora/bhajia, aubergine, fried in vegetable oil, homemade",DR,294.0,7.9,17.2,22.5,,2.1,18.0
15-827,"Pakora/bhajia, cauliflower, fried in vegetable oil, homemade",DR,320.0,9.2,18.2,23.9,4.7,2.8,22.0
15-828,"Pakora/bhajia, onion, fried in vegetable oil, homemade",DR,270.0,11.2,24.6,14.7,5.7,3.4,15.0
